-2.375	0.0002905
-2.125	0.0013884
-1.875	0.0027991
-1.625	0.0049101
-1.375	0.0082253
-1.125	0.0210774
-0.875	0.0276944
-0.625	0.05838
-0.375	0.1055696
-0.125	0.2340893
0.125	0.3263813
0.375	0.0699772
0.625	0.0346929
0.875	0.0198085
1.125	0.0162816
1.375	0.0077279
1.625	0.011648
1.875	0.0072102
2.125	0.0049077
2.375	0.0046616
2.625	0.0033993
2.875	0.002307
3.125	0.001446
3.375	0.0017527
3.625	0.003605
3.875	0.0023136
4.125	0.0014558
4.375	0.00051
4.625	0.001016
4.875	0.0005895
5.125	0.0005345
5.375	0.0002288
5.625	0.0006259
5.875	0.0005382
6.125	0.0009187
6.375	0.0002645
6.625	0.0016362
6.875	0.0002577
7.125	0.0000793
7.375	0.0001841
7.625	0.0005275
7.875	0.0006967
8.125	0.00026
8.375	0.0000532
8.625	0.0001823
8.875	0.0002013
9.125	0.0008966
9.375	0.0003864
9.625	0.0020909
9.875	0.0001874
10.125	0.0004887
10.375	0.0000896
10.625	0.0003579
11.125	0.0000364
11.625	0.0002097
11.875	0.0000532
12.375	9.59E-06
12.625	0.0000263
12.875	0.0000332
13.125	0.0004066
13.375	0.0000669
13.625	0.000067
13.875	0.000362
14.125	0.000124
14.375	0.0000873
14.875	0.0000275
15.125	0.0002018
15.875	0.0000352
16.125	0.0000523
17.125	0.0000666
17.875	0.0000375
18.375	0.0000671
18.625	0.0000742
18.875	0.0000739
19.375	0.0000791
